trade_id,order_id,strategy_id,timestamp,side,qty,exec_price,raw_price,commission,notional,liquidity_role
TRD-000275,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.000113,66839.9,66839.9,0.0,7.552908699999999,TAKER
TRD-000276,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.089709,66840.8,66840.8,0.0,5996.2213272,TAKER
TRD-000277,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.024,66840.9,66840.9,0.0,1604.1816,TAKER
TRD-000278,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.112049,66841.1,66841.1,0.0,7489.4784139,TAKER
TRD-000279,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.087626,66842.2,66842.2,0.0,5857.1146172,TAKER
TRD-000280,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.0832,66842.5,66842.5,0.0,5561.295999999999,TAKER
TRD-000281,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.007482,66842.6,66842.6,0.0,500.11633320000004,TAKER
TRD-000282,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.002,66843.3,66843.3,0.0,133.6866,TAKER
TRD-000283,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.006488,66843.4,66843.4,0.0,433.67997919999993,TAKER
TRD-000284,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.0004,66843.9,66843.9,0.0,26.73756,TAKER
TRD-000285,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.04344999999999998,66844.1,66844.1,0.0,2904.376144999999,TAKER
TRD-000286,ORD-000027,strategy-1,2026-03-02T06:28:08.992000,SELL,0.542554,66234.2,66234.2,0.0,35935.630146799995,TAKER
TRD-000287,ORD-000027,strategy-1,2026-03-02T06:29:00.592000,SELL,0.423631,66249.2,66249.2,0.0,28065.214845199996,TAKER
TRD-000288,ORD-000027,strategy-1,2026-03-02T06:29:00.592000,SELL,0.009494,66246.5,66246.5,0.0,628.9442710000001,TAKER
TRD-000289,ORD-000027,strategy-1,2026-03-02T06:29:00.592000,SELL,0.024321000000000037,66246.2,66246.2,0.0,1611.1738302000024,TAKER
TRD-000290,ORD-000028,strategy-1,2026-03-02T06:47:26.192000,BUY,0.368434,66172.5,66172.5,0.0,24380.198865,TAKER
TRD-000291,ORD-000028,strategy-1,2026-03-02T06:48:29.192000,BUY,0.3654,66164.4,66164.4,0.0,24176.471759999997,TAKER
TRD-000292,ORD-000028,strategy-1,2026-03-02T06:48:29.192000,BUY,0.050209,66165.2,66165.2,0.0,3322.0885267999997,TAKER
